Year,K,GrowthRate,N_Initial,PopSizes_Mean,PopSizes_Std,N_Females,N_Males,N_YYMales,N_YYFemales,N_MatureFemales,N_MatureMales,N_MatureYYMales,N_MatureYYFemales,MatureCount,ImmatureCount,EggLayEvents,Births,EggDeaths,MyyProgeny,FyyProgeny,Capture_Back,SelectionDeaths_Emigration,MoveDeaths_Emigration,PNratio_Emi,N_beforePacking_AddAge0s,PackingDeaths_Emigration,YYSelectionPackingDeaths_Emi,WildSelectionPackingDeaths_Emi,N_Emigration,Deaths_EmiMort,N_EmiMortality,Capture_Out,SelectionDeaths_Immigration,MoveDeaths_Immigration,PNratio_Immi,PackingDeaths_Immigration,YYSelectionPackingDeaths_Immi,WildSelectionPackingDeaths_Immi,SelectionDeaths_Age0s_Immigration,N_Immigration,Deaths_ImmiMort,N_ImmiMortality,Alleles,He,Ho,p1,p2,q1,q2,MateDist,MateDist_SD,Female_EmigrationDist,Female_EmigrationDist_SD,Male_EmigrationDist,Male_EmigrationDist_SD,Female_FromHomeDist,Female_FromHomeDist_SD,Male_FromHomeDist,Male_FromHomeDist_SD,Female_StrayerDist,Female_StrayerDist_SD,Male_StrayerDist,Male_StrayerDist_SD,Female_HomeAttemptStrayDist,Female_HomeAttemptStrayDist_SD,Male_HomeAttemptStrayDist,Male_HomeAttemptStrayDist_SD,DeseaseStates,Residors,Strayers_1,Strayers_2,Immigrators,ResidentDispersers,ImmigrantDispersers,AA_aa_Mates,AA_AA_Mates,aa_aa_Mates,AA_Aa_Mates,aa_Aa_Mates,Aa_Aa_Mates
25,3787.0|683.0|3.0|1579.0|180.0|1156.0|162.0|11.0|2.0|11.0|,2.727272727272727,11|4|0|2|0|1|1|1|1|1|,0.0|nan|0.0|nan|0.0|0.0|0.0|0.0|0.0|,0.0|nan|0.0|nan|0.0|0.0|0.0|0.0|0.0|,7|1|0|2|0|1|1|0|1|1|,4|3|0|0|0|0|0|1|0|0|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,7|1|0|2|0|1|1|0|1|1|,4|3|0|0|0|0|0|1|0|0|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,11,0,2,500|0|0|0|0|0|500|0|0|0|,480|0|0|0|0|0|480|0|0|0|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,11|4|0|2|0|1|1|1|1|1|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,31|4|0|2|0|1|21|1|1|1|,0|0|0|0|0|0|0|0|0|0|,31|4|0|2|0|1|21|1|1|1|,0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,1|0|0|0|0|0|1|0|0|0|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|,30|2|0|2|0|1|23|0|0|2|,0|0|0|0|0|0|0|0|0|0|,30|2|0|2|0|1|23|0|0|2|,67|43|0|35|0|21|21|23|21|20|,0.5864817001180636|0.4866071428571429|0.0|0.4642857142857143|0.0|0.25|0.25|0.3214285714285714|0.25|0.2142857142857143|,0.538961038961039|0.5357142857142857|0.0|0.6071428571428571|0.0|0.5|0.5|0.6428571428571429|0.5|0.42857142857142855|,0.09090909090909091,0.18181818181818182,0.0,0.045454545454545456,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11|4|0|2|0|1|1|1|1|1|,2|0|2|0|1|23|0|0|2|,0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|,2|0|2|0|1|3|0|0|2|,0|0|0|0|0|0|0|0|0|,0,0,0,0,0,0
26,3787.0|683.0|3.0|1579.0|180.0|1156.0|162.0|11.0|2.0|11.0|,1.8333333333333333,30|2|0|2|0|1|23|0|0|2|,0.0|nan|0.0|nan|0.0|0.0|nan|nan|0.0|,0.0|nan|0.0|nan|0.0|0.0|nan|nan|0.0|,15|0|0|2|0|1|11|0|0|1|,15|2|0|0|0|0|12|0|0|1|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,6|0|0|2|0|1|2|0|0|1|,4|2|0|0|0|0|1|0|0|1|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,10,20,3,930|0|0|180|0|0|750|0|0|0|,893|0|0|173|0|0|720|0|0|0|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,30|2|0|2|0|1|23|0|0|2|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,67|2|0|9|0|1|53|0|0|2|,0|0|0|0|0|0|0|0|0|0|,67|2|0|9|0|1|53|0|0|2|,0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,12|3|0|0|0|1|5|2|1|0|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|,55|2|1|9|0|4|36|1|1|1|,0|0|0|0|0|0|0|0|0|0|,55|2|1|9|0|4|36|1|1|1|,67|31|0|35|0|21|48|0|0|31|,0.5357539682539683|0.3928571428571429|0.0|0.4642857142857143|0.0|0.25|0.49912233324331623|0.0|0.0|0.4196428571428571|,0.5976190476190476|0.5|0.0|0.6071428571428571|0.0|0.5|0.6149068322981367|0.0|0.0|0.5357142857142857|,0.03333333333333333,0.15,0.0,0.016666666666666666,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30|2|0|2|0|1|23|0|0|2|,2|1|9|0|4|36|1|1|1|,0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|,2|1|2|0|4|6|1|1|1|,0|0|0|0|0|0|0|0|0|,0,0,0,0,0,0
27,3787.0|683.0|3.0|1579.0|180.0|1156.0|162.0|11.0|2.0|11.0|,0.5272727272727272,55|2|1|9|0|4|36|1|1|1|,0.0|0.0|0.0|nan|0.0|0.0|0.0|0.0|0.0|,0.0|0.0|0.0|nan|0.0|0.0|0.0|0.0|0.0|,24|1|0|4|0|3|15|0|1|0|,31|1|1|5|0|1|21|1|0|1|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,8|1|0|2|0|3|1|0|1|0|,10|1|1|0|0|1|5|1|0|1|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,18,37,1,120|0|0|0|0|120|0|0|0|0|,115|0|0|0|0|115|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,55|2|1|9|0|4|36|1|1|1|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,60|2|1|9|0|9|36|1|1|1|,0|0|0|0|0|0|0|0|0|0|,60|2|1|9|0|9|36|1|1|1|,0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,31|4|4|5|0|2|11|3|2|0|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|,29|4|1|3|1|9|6|2|0|3|,0|0|0|0|0|0|0|0|0|0|,29|4|1|3|1|9|6|2|0|3|,67|29|22|44|0|41|47|21|23|23|,0.5392916174734357|0.4196428571428571|0.2857142857142857|0.5524691358024691|0.0|0.5133928571428572|0.4697420634920635|0.25|0.3214285714285714|0.3214285714285714|,0.6311688311688312|0.7142857142857143|0.5714285714285714|0.7857142857142857|0.0|0.48214285714285715|0.6091269841269841|0.5|0.6428571428571429|0.6428571428571429|,0.15454545454545454,0.10909090909090909,0.0,0.16363636363636364,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55|2|1|9|0|4|36|1|1|1|,4|1|3|1|9|6|2|0|3|,0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|,4|1|3|1|4|6|2|0|3|,0|0|0|0|0|0|0|0|0|,0,0,0,0,0,0
28,3787.0|683.0|3.0|1579.0|180.0|1156.0|162.0|11.0|2.0|11.0|,0.5862068965517241,29|4|1|3|1|9|6|2|0|3|,0.0|0.0|0.0|0.0|0.0|0.0|0.0|nan|0.0|,0.0|0.0|0.0|0.0|0.0|0.0|0.0|nan|0.0|,11|2|1|0|0|2|3|1|0|2|,18|2|0|3|1|7|3|1|0|1|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,10|2|1|0|0|1|3|1|0|2|,14|2|0|3|1|3|3|1|0|1|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,24,5,1,300|0|300|0|0|0|0|0|0|0|,288|0|288|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,29|4|1|3|1|9|6|2|0|3|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,41|4|13|3|1|9|6|2|0|3|,0|0|0|0|0|0|0|0|0|0|,41|4|13|3|1|9|6|2|0|3|,0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,24|2|13|0|0|3|1|1|2|2|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|,17|6|1|2|1|3|2|0|1|1|,0|0|0|0|0|0|0|0|0|0|,17|6|1|2|1|3|2|0|1|1|,63|45|23|33|21|42|37|34|0|40|,0.5469254289111602|0.5334821428571428|0.3214285714285714|0.4722222222222223|0.25|0.4470899470899472|0.4583333333333335|0.4732142857142857|0.0|0.4920634920634922|,0.5862068965517241|0.4642857142857143|0.6428571428571429|0.8095238095238095|0.5|0.49206349206349204|0.6428571428571429|0.6785714285714286|0.0|0.6428571428571429|,0.10344827586206896,0.1896551724137931,0.0,0.1206896551724138,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29|4|1|3|1|9|6|2|0|3|,6|1|2|1|3|2|0|1|1|,0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|,6|1|2|1|3|2|0|1|1|,0|0|0|0|0|0|0|0|0|,0,0,0,0,0,0
29,3787.0|683.0|3.0|1579.0|180.0|1156.0|162.0|11.0|2.0|11.0|,0.7647058823529411,17|6|1|2|1|3|2|0|1|1|,0.0|0.0|0.0|0.0|0.0|0.0|nan|0.0|0.0|,0.0|0.0|0.0|0.0|0.0|0.0|nan|0.0|0.0|,7|3|0|1|0|0|1|0|1|1|,10|3|1|1|1|3|1|0|0|0|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,7|3|0|1|0|0|1|0|1|1|,10|3|1|1|1|3|1|0|0|0|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,17,0,0,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,17|6|1|2|1|3|2|0|1|1|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,17|6|1|2|1|3|2|0|1|1|,0|0|0|0|0|0|0|0|0|0|,17|6|1|2|1|3|2|0|1|1|,0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,4|1|0|1|0|0|0|0|2|0|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|,13|3|1|2|1|3|2|1|0|0|,0|0|0|0|0|0|0|0|0|0|,13|3|1|2|1|3|2|1|0|0|,58|42|25|33|21|39|37|0|21|21|,0.5520266930301534|0.44940476190476175|0.3928571428571429|0.4732142857142857|0.25|0.4920634920634922|0.5|0.0|0.25|0.25|,0.6260504201680672|0.5595238095238095|0.7857142857142857|0.75|0.5|0.6666666666666666|0.75|0.0|0.5|0.5|,0.08823529411764706,0.20588235294117646,0.0,0.14705882352941177,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17|6|1|2|1|3|2|0|1|1|,3|1|2|1|3|2|1|0|0|,0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|,3|1|2|1|3|2|1|0|0|,0|0|0|0|0|0|0|0|0|,0,0,0,0,0,0
30,3787.0|683.0|3.0|1579.0|180.0|1156.0|162.0|11.0|2.0|11.0|,0.6153846153846154,13|3|1|2|1|3|2|1|0|0|,0.0|0.0|0.0|0.0|0.0|0.0|0.0|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|0.0|nan|nan|,5|1|0|1|0|2|1|0|0|0|,8|2|1|1|1|1|1|1|0|0|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,5|1|0|1|0|2|1|0|0|0|,8|2|1|1|1|1|1|1|0|0|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,13,0,0,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,13|3|1|2|1|3|2|1|0|0|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,13|3|1|2|1|3|2|1|0|0|,0|0|0|0|0|0|0|0|0|0|,13|3|1|2|1|3|2|1|0|0|,0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,5|0|3|0|0|0|0|0|1|1|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|,8|1|0|0|1|1|3|0|1|1|,0|0|0|0|0|0|0|0|0|0|,8|1|0|0|1|1|3|0|1|1|,57|33|26|33|21|34|34|23|0|0|,0.5572696534234998|0.3571428571428571|0.4285714285714286|0.4642857142857143|0.25|0.46031746031746046|0.4642857142857143|0.3214285714285714|0.0|0.0|,0.6098901098901099|0.47619047619047616|0.8571428571428571|0.7142857142857143|0.5|0.6428571428571429|0.5714285714285714|0.6428571428571429|0.0|0.0|,0.11538461538461539,0.23076923076923078,0.0,0.07692307692307693,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13|3|1|2|1|3|2|1|0|0|,1|0|0|1|1|3|0|1|1|,0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|,1|0|0|1|1|3|0|1|1|,0|0|0|0|0|0|0|0|0|,0,0,0,0,0,0
31,3787.0|683.0|3.0|1579.0|180.0|1156.0|162.0|11.0|2.0|11.0|,7.75,8|1|0|0|1|1|3|0|1|1|,0.0|nan|nan|0.0|0.0|0.0|nan|0.0|0.0|,0.0|nan|nan|0.0|0.0|0.0|nan|0.0|0.0|,4|1|0|0|0|0|2|0|1|0|,4|0|0|0|1|1|1|0|0|1|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,4|1|0|0|0|0|2|0|1|0|,4|0|0|0|1|1|1|0|0|1|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,8,0,3,1370|0|0|0|0|0|1250|0|120|0|,1315|0|0|0|0|0|1200|0|115|0|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,8|1|0|0|1|1|3|0|1|1|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,63|1|0|0|1|1|53|0|6|1|,0|0|0|0|0|0|0|0|0|0|,63|1|0|0|1|1|53|0|6|1|,0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,1|0|0|0|0|0|0|0|1|0|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|,62|1|1|0|1|0|51|2|6|0|,0|0|0|0|0|0|0|0|0|0|,62|1|1|0|1|0|51|2|6|0|,49|25|0|0|21|23|36|0|21|20|,0.5189732142857143|0.3928571428571429|0.0|0.0|0.25|0.3214285714285714|0.48015873015873023|0.0|0.25|0.2142857142857143|,0.5625|0.7857142857142857|0.0|0.0|0.5|0.6428571428571429|0.5476190476190477|0.0|0.5|0.42857142857142855|,0.1875,0.1875,0.0,0.0625,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8|1|0|0|1|1|3|0|1|1|,1|1|0|1|0|51|2|6|0|,0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|,1|1|0|1|0|1|2|1|0|,0|0|0|0|0|0|0|0|0|,0,0,0,0,0,0
32,3787.0|683.0|3.0|1579.0|180.0|1156.0|162.0|11.0|2.0|11.0|,0.27419354838709675,62|1|1|0|1|0|51|2|6|0|,0.0|0.0|nan|0.0|nan|0.0|0.0|0.0|nan|,0.0|0.0|nan|0.0|nan|0.0|0.0|0.0|nan|,25|1|1|0|0|0|19|1|3|0|,37|0|0|0|1|0|32|1|3|0|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,4|1|1|0|0|0|0|1|1|0|,3|0|0|0|1|0|1|1|0|0|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,7,55,0,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,62|1|1|0|1|0|51|2|6|0|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,62|1|1|0|1|0|51|2|6|0|,0|0|0|0|0|0|0|0|0|0|,62|1|1|0|1|0|51|2|6|0|,0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,45|3|2|1|0|1|19|3|11|5|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|,17|1|1|0|1|1|9|1|0|3|,0|0|0|0|0|0|0|0|0|0|,17|1|1|0|1|1|9|1|0|3|,49|25|24|0|21|0|44|26|33|0|,0.5241563847182995|0.3928571428571429|0.3571428571428571|0.0|0.25|0.0|0.5156258581864117|0.3035714285714286|0.3561507936507936|0.0|,0.5829493087557603|0.7857142857142857|0.7142857142857143|0.0|0.5|0.0|0.6064425770308123|0.4642857142857143|0.38095238095238093|0.0|,0.22580645161290322,0.23387096774193547,0.0,0.04032258064516129,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62|1|1|0|1|0|51|2|6|0|,1|1|0|1|1|9|1|0|3|,0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|,1|1|0|1|1|9|1|0|3|,0|0|0|0|0|0|0|0|0|,0,0,0,0,0,0
33,3787.0|683.0|3.0|1579.0|180.0|1156.0|162.0|11.0|2.0|11.0|,0.6470588235294118,17|1|1|0|1|1|9|1|0|3|,0.0|0.0|nan|0.0|0.0|0.0|0.0|nan|0.0|,0.0|0.0|nan|0.0|0.0|0.0|0.0|nan|0.0|,4|0|1|0|0|0|2|0|0|1|,13|1|0|0|1|1|7|1|0|2|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,4|0|1|0|0|0|2|0|0|1|,13|1|0|0|1|1|7|1|0|2|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,17,0,0,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,17|1|1|0|1|1|9|1|0|3|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,17|1|1|0|1|1|9|1|0|3|,0|0|0|0|0|0|0|0|0|0|,17|1|1|0|1|1|9|1|0|3|,0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,6|1|1|0|0|1|1|0|2|0|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|,11|2|0|0|1|3|3|0|1|1|,0|0|0|0|0|0|0|0|0|0|,11|2|0|0|1|3|3|0|1|1|,48|24|24|0|21|24|44|22|0|35|,0.5244686109738013|0.3571428571428571|0.3571428571428571|0.0|0.25|0.3571428571428571|0.5114638447971782|0.2857142857142857|0.0|0.41666666666666685|,0.592436974789916|0.7142857142857143|0.7142857142857143|0.0|0.5|0.7142857142857143|0.6190476190476191|0.5714285714285714|0.0|0.42857142857142855|,0.14705882352941177,0.3235294117647059,0.0,0.029411764705882353,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17|1|1|0|1|1|9|1|0|3|,2|0|0|1|3|3|0|1|1|,0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|,2|0|0|1|3|3|0|1|1|,0|0|0|0|0|0|0|0|0|,0,0,0,0,0,0
34,3787.0|683.0|3.0|1579.0|180.0|1156.0|162.0|11.0|2.0|11.0|,0.8181818181818182,11|2|0|0|1|3|3|0|1|1|,0.0|nan|nan|0.0|0.0|0.0|nan|0.0|0.0|,0.0|nan|nan|0.0|0.0|0.0|nan|0.0|0.0|,1|0|0|0|0|1|0|0|0|0|,10|2|0|0|1|2|3|0|1|1|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,1|0|0|0|0|1|0|0|0|0|,10|2|0|0|1|2|3|0|1|1|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,11,0,0,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,11|2|0|0|1|3|3|0|1|1|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,11|2|0|0|1|3|3|0|1|1|,0|0|0|0|0|0|0|0|0|0|,11|2|0|0|1|3|3|0|1|1|,0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,2|1|0|0|0|0|0|0|1|0|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|,9|2|0|0|1|2|1|1|1|1|,0|0|0|0|0|0|0|0|0|0|,9|2|0|0|1|2|1|1|1|1|,47|29|0|0|21|35|31|0|22|24|,0.5109208972845336|0.375|0.0|0.0|0.25|0.41666666666666685|0.4007936507936508|0.0|0.2857142857142857|0.3571428571428571|,0.5584415584415584|0.6071428571428571|0.0|0.0|0.5|0.42857142857142855|0.6190476190476191|0.0|0.5714285714285714|0.7142857142857143|,0.13636363636363635,0.3181818181818182,0.0,0.045454545454545456,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11|2|0|0|1|3|3|0|1|1|,2|0|0|1|2|1|1|1|1|,0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|,2|0|0|1|2|1|1|1|1|,0|0|0|0|0|0|0|0|0|,0,0,0,0,0,0
